Route ID,On Routes Tab,Draw Area,Origin ID,City,State,Postal Code,PartId,Piece Price,Piece Weight,Container,StdPack,ContL,ContW,ContH,ContT,R / E, Qty Wk1 , Qty Wk2 , Qty Wk3 , Qty Wk4 , Qty Wk5 , Qty Wk6 , Qty Wk7 , Qty Wk8 , Qty Wk9 , Qty Wk10 , Qty Wk11 , Qty Wk12 , Qty Wk13 , Qty Wk14 , Qty Wk15 , Qty Wk16 , Qty Wk17 , Qty Wk18 , Qty Wk19 , Qty Wk20 ,WeightUtilizationW01,LinearCubeW01,WeightUtilizationW02,LinearCubeW02,WeightUtilizationW03,LinearCubeW03,WeightUtilizationW04,LinearCubeW04,WeightUtilizationW05,LinearCubeW05,WeightUtilizationW06,LinearCubeW06,WeightUtilizationW07,LinearCubeW07,WeightUtilizationW08,LinearCubeW08,WeightUtilizationW09,LinearCubeW09,WeightUtilizationW10,LinearCubeW10,WeightUtilizationW11,LinearCubeW11,WeightUtilizationW12,LinearCubeW12,WeightUtilizationW13,LinearCubeW13,WeightUtilizationW14,LinearCubeW14,WeightUtilizationW15,LinearCubeW15,WeightUtilizationW16,LinearCubeW16,WeightUtilizationW17,LinearCubeW17,WeightUtilizationW18,LinearCubeW18,WeightUtilizationW19,LinearCubeW19,WeightUtilizationW20,LinearCubeW20
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,755RPE82CK841,#REF!,12.4119,MAC06577,40,96.5,69,36.5,450,R, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.00 , 44.00 , 89.00 , 80.00 , 126.00 , 81.00 , 89.00 , 51.00 , 43.00 , 25.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1739535,0.03703704,0.1739535,0.03703704,0.347907,0.07407407,0.347907,0.07407407,0.5218605,0.1111111,0.347907,0.07407407,0.347907,0.07407407,0.347907,0.07407407,0.1739535,0.03703704,0,0
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,756RPE82OA841,#REF!,12.963,MAC06577,40,96.5,69,36.5,450,R, -   , -   , 58.00 , 40.00 , 43.00 , 39.00 , 41.00 , 30.00 , 41.00 , 73.00 , 20.00 , 42.00 , 50.00 , 54.00 , 65.00 , 50.00 , 55.00 , 65.00 , 49.00 , 32.00 ,0,0,0.1739535,0.03703704,0.347907,0.07407407,0.1739535,0.03703704,0.1739535,0.03703704,0.1739535,0.03703704,0.1739535,0.03703704,0,0,0.347907,0.07407407,0.1739535,0.03703704,0.1739535,0.03703704,0.1739535,0.03703704,0.1739535,0.03703704,0.347907,0.07407407,0.1739535,0.03703704,0.1739535,0.03703704,0.347907,0.07407407,0.1739535,0.03703704,0,0,0,0
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,757RPE82CK841,#REF!,12.963,MAC06577,40,96.5,69,36.5,450,R, -   , -   , 205.00 , 135.00 , 110.00 , 101.00 , 123.00 , 111.00 , 111.00 , 128.00 , 61.00 , 129.00 , 134.00 , 105.00 , 148.00 , 103.00 , 95.00 , 116.00 , 101.00 , 59.00 ,0,0,0.347907,0.07407407,0.8697674,0.1851852,0.5218605,0.1111111,0.5218605,0.1111111,0.5218605,0.1111111,0.5218605,0.1111111,0.5218605,0.1111111,0.347907,0.07407407,0.695814,0.1481481,0.1739535,0.03703704,0.5218605,0.1111111,0.5218605,0.1111111,0.5218605,0.1111111,0.695814,0.1481481,0.347907,0.07407407,0.5218605,0.1111111,0.5218605,0.1111111,0.1739535,0.03703704,0,0
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,758RPE82CK841,#REF!,13.6024,MAC06577,40,96.5,69,36.5,450,R, 22.00 , 22.00 , 322.00 , 403.00 , 317.00 , 328.00 , 379.00 , 380.00 , 370.00 , 505.00 , 194.00 , 342.00 , 236.00 , 242.00 , 302.00 , 196.00 , 260.00 , 214.00 , 147.00 , 106.00 ,0.1739535,0.03703704,2.609302,0.5555556,1.391628,0.2962963,1.739535,0.3703704,1.391628,0.2962963,1.391628,0.2962963,1.739535,0.3703704,1.565581,0.3333333,1.565581,0.3333333,2.261395,0.4814815,0.8697674,0.1851852,1.391628,0.2962963,1.043721,0.2222222,1.043721,0.2222222,1.217674,0.2592593,1.043721,0.2222222,1.043721,0.2222222,0.8697674,0.1851852,0.695814,0.1481481,0,0
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,759RPE82OA841,#REF!,13.6024,MAC06577,40,96.5,69,36.5,450,R, 1.00 , 1.00 , 19.00 , 27.00 , 26.00 , 17.00 , 10.00 , 26.00 , 24.00 , 33.00 , 5.00 , 15.00 , 27.00 , 19.00 , 29.00 , 17.00 , 18.00 , 18.00 , 15.00 , 11.00 ,0,0,0.1739535,0.03703704,0.1739535,0.03703704,0,0,0.1739535,0.03703704,0.1739535,0.03703704,0,0,0,0,0.1739535,0.03703704,0.1739535,0.03703704,0,0,0,0,0.1739535,0.03703704,0,0,0.1739535,0.03703704,0,0,0,0,0,0,0,0,0,0
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,762RPE82OA841,#REF!,18.4635,MAC06578,20,96.5,69,36,450,R, 1.00 , 1.00 , 77.00 , 67.00 , 69.00 , 56.00 , 51.00 , 56.00 , 65.00 , 106.00 , 25.00 , 60.00 , 81.00 , 80.00 , 100.00 , 76.00 , 78.00 , 93.00 , 70.00 , 45.00 ,0,0,0.07621116,0.1481481,0.05715837,0.1111111,0.07621116,0.1481481,0.05715837,0.1111111,0.05715837,0.1111111,0.05715837,0.1111111,0.03810558,0.07407407,0.07621116,0.1481481,0.09526396,0.1851852,0.01905279,0.03703704,0.05715837,0.1111111,0.07621116,0.1481481,0.07621116,0.1481481,0.09526396,0.1851852,0.07621116,0.1481481,0.07621116,0.1481481,0.09526396,0.1851852,0.05715837,0.1111111,0,0
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,763RPE82CK841,#REF!,18.4635,MAC06578,20,96.5,69,36,450,R, 22.00 , 22.00 , 527.00 , 538.00 , 427.00 , 429.00 , 502.00 , 491.00 , 481.00 , 633.00 , 256.00 , 515.00 , 459.00 , 427.00 , 576.00 , 380.00 , 444.00 , 381.00 , 291.00 , 190.00 ,0.03810558,0.07407407,0.6287421,1.222222,0.4953725,0.962963,0.5334781,1.037037,0.4001086,0.7777778,0.4001086,0.7777778,0.4953725,0.962963,0.457267,0.8888889,0.457267,0.8888889,0.6287421,1.222222,0.2286335,0.4444444,0.4763198,0.9259259,0.4382142,0.8518519,0.4191614,0.8148148,0.5144253,1,0.4001086,0.7777778,0.4001086,0.7777778,0.362003,0.7037037,0.2857918,0.5555556,0.07621116,0.1481481
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,604RPE43CK842,#REF!,12.5552,MAC06577,40,96.5,69,36.5,450,R, 7.00 , 7.00 , 230.00 , 179.00 , 241.00 , 258.00 , 246.00 , 235.00 , 285.00 , 179.00 , 159.00 , 340.00 , 311.00 , 325.00 , 365.00 , 213.00 , 323.00 , 324.00 , 319.00 , 346.00 ,0,0,0.2148837,0.2222222,0.2148837,0.2222222,0.1790698,0.1851852,0.2148837,0.2222222,0.2148837,0.2222222,0.2148837,0.2222222,0.2148837,0.2222222,0.2506977,0.2592593,0.1790698,0.1851852,0.1432558,0.1481481,0.3223256,0.3333333,0.2506977,0.2592593,0.2865116,0.2962963,0.3223256,0.3333333,0.2148837,0.2222222,0.2865116,0.2962963,0.2865116,0.2962963,0.2865116,0.2962963,0.2865116,0.2962963
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,605RPE43OA842,#REF!,12.7426,MAC06577,40,96.5,69,36.5,450,R, 2.00 , 2.00 , 80.00 , 74.00 , 136.00 , 175.00 , 168.00 , 192.00 , 200.00 , 169.00 , 118.00 , 217.00 , 196.00 , 232.00 , 244.00 , 134.00 , 208.00 , 222.00 , 211.00 , 211.00 ,0,0,0.03581395,0.03703704,0.07162791,0.07407407,0.07162791,0.07407407,0.1432558,0.1481481,0.1432558,0.1481481,0.1432558,0.1481481,0.1790698,0.1851852,0.1790698,0.1851852,0.1790698,0.1851852,0.07162791,0.07407407,0.2148837,0.2222222,0.1790698,0.1851852,0.2148837,0.2222222,0.1790698,0.1851852,0.1432558,0.1481481,0.1790698,0.1851852,0.2148837,0.2222222,0.1790698,0.1851852,0.1790698,0.1851852
MCM38A,MCM38A,MEXICO,728762301IA81,EL MARQUES,QA,76246,606RPE43CK842,#REF!,12.7426,MAC06577,40,96.5,69,36.5,450,R, 25.00 , 25.00 , 460.00 , 404.00 , 611.00 , 594.00 , 564.00 , 613.00 , 804.00 , 673.00 , 430.00 , 965.00 , 885.00 , 878.00 , 969.00 , 624.00 , 857.00 , 930.00 , 822.00 , 862.00 ,0,0,0.5013953,0.5185185,0.3939535,0.4074074,0.3939535,0.4074074,0.5372093,0.5555556,0.5372093,0.5555556,0.5013953,0.5185185,0.5372093,0.5555556,0.752093,0.7777778,0.5730233,0.5925926,0.3939535,0.4074074,0.8595349,0.8888889,0.8237209,0.8518519,0.787907,0.8148148,0.787907,0.8148148,0.6088372,0.6296296,0.787907,0.8148148,0.8237209,0.8518519,0.7162791,0.7407407,0.787907,0.8148148
