Route ID,On Parts tab,Planned Lane Rate,Lane Freq,IsRoundTrip,Mode,EquipCode,Miles,,,,,,,,,,,,,,,,,,
MDI31A,MDI31A,"2,084.09",2,No,ITL,GM-53CVAIR-ITL,2241.2,,,,,,,,,,,,,,,,,,
MDI39A,MDI39A,"3,700.34",5,Yes,ITL,GM-53CVAIR-ITL,4475.5,,,,,,,,,,,,,,,,,,
MDI96A,MDI96A,"1,998.65",5,No,ITL,GM-53CVAIR-ITL,2129.1,,,,,,,,,,,,,,,,,,
MDM12A,MDM12A,"4,966.20",4,Yes,TL,GM-53CVAIR-U53,3213.5,,,,,,,,,,,,,,,,,,
MDM97A,MDM97A,"2,825.68",5,Yes,TL,GM-53CVAIR-U53,3081.1,,,,,,,,,,,,,,,,,,
MDM98A,MDM98A,"3,807.38",6,Yes,TL,GM-53SVAIR-010,3304.8,,,,,,,,,,,,,,,,,,
MDP25A,MDP25A,"2,872.59",5,Yes,TL,GM-53CVAIR-U53,3141.500001,,,,,,,,,,,,,,,,,,
MGC01A,MGC01A,"3,385.89",3,Yes,CON,GM-53CVAIR-ITL,4243.3,,,,,,,,,,,,,,,,,,
MGI03A,MGI03A,"2,167.56",6,No,ITL,GM-53CVAIR-ITL,2158.6,,,,,,,,,,,,,,,,,,
MGI11A,MGI11A,"1,862.48",4,No,ITL,GM-53CVAIR-ITL,2128.7,,,,,,,,,,,,,,,,,,
MGI12A,MGI12A,"2,337.37",2,No,ITL,GM-53CVAIR-ITL,2142.8,,,,,,,,,,,,,,,,,,
MGI13A,MGI13A,"3,311.45",4,Yes,ITL,GM-53CVAIR-ITL,4195.1,,,,,,,,,,,,,,,,,,
MGI16A,MGI16A,"3,249.54",5,Yes,ITL,GM-53CVAIR-ITL,4437.8,,,,,,,,,,,,,,,,,,
MGI17A,MGI17A,"3,336.11",5,Yes,ITL,GM-53CVAIR-ITL,4259.1,,,,,,,,,,,,,,,,,,
MGI18A,MGI18A,"2,219.47",3,No,ITL,GM-53CVAIR-ITL,2158.6,,,,,,,,,,,,,,,,,,
MGI21A,MGI21A,"3,309.73",2,Yes,ITL,GM-53CVAIR-ITL,4288.6,,,,,,,,,,,,,,,,,,
MGI31A,MGI31A,"1,834.97",1,No,ITL,GM-53CVAIR-ITL,2095.9,,,,,,,,,,,,,,,,,,
MGI61A,MGI61A,"2,364.17",1,No,ITL,GM-53CVAIR-ITL,2217.3,,,,,,,,,,,,,,,,,,
MLC01A,MLC01A,483.46,6,No,CON,GM-53CVAIR-U53,579,,,,,,,,,,,,,,,,,,
MLG02A,MLG02A,684.03,5,Yes,MR,GM-53CVAIR-U53,472.9,,,,,,,,,,,,,,,,,,
MLM10A,MLM10A,634.34,6,Yes,TL,GM-53CVAIR-U53,478.1,,,,,,,,,,,,,,,,,,
MLM12A,MLM12A,607.95,6,Yes,TL,GM-53CVAIR-U53,480.2,,,,,,,,,,,,,,,,,,
MMG10A,MMG10A,907.18,5,Yes,MR,GM-53CVAIR-U53,1084.5,,,,,,,,,,,,,,,,,,
MMG13A,MMG13A,581.08,6,Yes,MR,GM-53CVAIR-U53,1019.9,,,,,,,,,,,,,,,,,,
MMM14A,MMM14A,467.24,5,Yes,TL,GM-53CVAIR-U53,814.6,,,,,,,,,,,,,,,,,,
MMM21A,MMM21A,528.66,6,Yes,TL,GM-53CVAIR-U53,938.88,,,,,,,,,,,,,,,,,,
MMM31A,MMM31A,612.24,5,Yes,TL,GM-53CVAIR-U53,1006.58,,,,,,,,,,,,,,,,,,
MMM33A,MMM33A,579.87,6,Yes,TL,GM-53CVAIR-U53,1006.58,,,,,,,,,,,,,,,,,,
MMM38A,MMM38A,498.59,6,Yes,TL,GM-53CVAIR-U53,798.2,,,,,,,,,,,,,,,,,,
MMM41A,MMM41A,582.91,3,Yes,TL,GM-53CVAIR-U53,798.2,,,,,,,,,,,,,,,,,,
MMM44A,MMM44A,454.67,3,Yes,TL,GM-53CVAIR-U53,938.78,,,,,,,,,,,,,,,,,,
MMM51A,MMM51A,184.64,2,Yes,TL,GM-53CVAIR-U53,282.4,,,,,,,,,,,,,,,,,,
MMM53A,MMM53A,"1,106.73",2,Yes,TL,GM-53CVAIR-U53,1402.1,,,,,,,,,,,,,,,,,,
MMM54A,MMM54A,192.75,5,Yes,TL,GM-53CVAIR-U53,282.4,,,,,,,,,,,,,,,,,,
MNI06A,MNI06A,"4,083.99",2,Yes,ITL,GM-53CVAIR-ITL,3806,,,,,,,,,,,,,,,,,,
MNI60A,MNI60A,"2,402.92",3,No,ITL,GM-53CVAIR-ITL,1903,,,,,,,,,,,,,,,,,,
MNM04A,MNM04A,"1,964.75",5,Yes,TL,GM-53CVAIR-U53,1858.8,,,,,,,,,,,,,,,,,,
MNM07A,MNM07A,"1,674.42",5,Yes,TL,GM-53CVAIR-U53,1479.8,,,,,,,,,,,,,,,,,,
MNM26A,MNM26A,"2,222.44",6,Yes,TL,GM-53CVAIR-U53,2189.6,,,,,,,,,,,,,,,,,,
MNM27A,MNM27A,"1,129.83",6,No,TL,GM-53CVAIR-U53,1094.8,,,,,,,,,,,,,,,,,,
MNM29A,MNM29A,"1,471.44",3,Yes,TL,GM-53CVAIR-U53,1869,,,,,,,,,,,,,,,,,,
MNM30A,MNM30A,"2,843.70",3,Yes,TL,GM-53CVAIR-U53,2621.6,,,,,,,,,,,,,,,,,,
MNM33A,MNM33A,"2,052.11",2,No,TL,GM-53CVAIR-U53,1301.9,,,,,,,,,,,,,,,,,,
MNM37A,MNM37A,597.86,4,No,TL,GM-53CVAIR-U53,445.5,,,,,,,,,,,,,,,,,,
MNM38A,MNM38A,570.14,5,No,TL,GM-53CVAIR-U53,445.5,,,,,,,,,,,,,,,,,,
MSG05A,MSG05A,554.79,4,Yes,MR,GM-53CVAIR-U53,598.70001,,,,,,,,,,,,,,,,,,
MSM04A,MSM04A,490.46,5,Yes,TL,GM-53CVAIR-U53,591.6,,,,,,,,,,,,,,,,,,
MSM07A,MSM07A,379.83,7,Yes,TL,GM-53SVAIR-010,190.2,,,,,,,,,,,,,,,,,,
MSM09A,MSM09A,437.82,6,Yes,TL,GM-53CVAIR-U53,591.6,,,,,,,,,,,,,,,,,,
MTC01A,MTC01A,"4,088.47",5,Yes,CON,GM-53CVAIR-ITL,4764,,,,,,,,,,,,,,,,,,
MTI12A,MTI12A,"3,743.72",3,Yes,ITL,GM-53CVAIR-ITL,4510.5,,,,,,,,,,,,,,,,,,
MTI13A,MTI13A,"2,504.03",5,No,ITL,GM-53CVAIR-ITL,2543.2,,,,,,,,,,,,,,,,,,
MTI21A,MTI21A,"2,423.05",2,No,ITL,GM-53CVAIR-ITL,2254,,,,,,,,,,,,,,,,,,
MTI24A,MTI24A,"2,269.77",3,No,ITL,GM-53CVAIR-ITL,2432.5,,,,,,,,,,,,,,,,,,
MTI25A,MTI25A,"2,302.08",3,No,ITL,GM-53CVAIR-ITL,2434.8,,,,,,,,,,,,,,,,,,
MTI26A,MTI26A,"3,989.16",5,Yes,ITL,GM-53CVAIR-ITL,4851.1,,,,,,,,,,,,,,,,,,
MTI27A,MTI27A,"2,551.62",3,No,ITL,GM-53CVAIR-ITL,2456.4,,,,,,,,,,,,,,,,,,
MTI29A,MTI29A,"2,251.79",4,No,ITL,GM-53CVAIR-ITL,2383.9,,,,,,,,,,,,,,,,,,
MTM04A,MTM04A,"3,259.18",5,Yes,TL,GM-53CVAIR-U53,3677.7,,,,,,,,,,,,,,,,,,
MWG06A,MWG06A,949.69,4,No,MR,GM-53CVAIR-U53,942.5,,,,,,,,,,,,,,,,,,
MWG25A,MWG25A,"1,454.74",5,Yes,MR,GM-53CVAIR-U53,1890.8,,,,,,,,,,,,,,,,,,
MWH01A,MWH01A,"2,994.21",3,Yes,ITL,GM-53CVAIR-ITL,3963,,,,,,,,,,,,,,,,,,
MWH10A,MWH10A,"1,781.49",2,No,ITL,GM-53CVAIR-ITL,2025,,,,,,,,,,,,,,,,,,
MWI04A,MWI04A,"2,352.57",4,No,ITL,GM-53CVAIR-ITL,1727.1,,,,,,,,,,,,,,,,,,
MWI05A,MWI05A,"2,864.41",5,Yes,ITL,GM-53CVAIR-ITL,3333,,,,,,,,,,,,,,,,,,
MWM17A,MWM17A,"1,600.30",5,No,TL,GM-53CVAIR-U53,1134,,,,,,,,,,,,,,,,,,
MWM21A,MWM21A,"1,124.84",2,No,TL,GM-53CVAIR-U53,930.6,,,,,,,,,,,,,,,,,,
MWM22A,MWM22A,"2,146.78",3,Yes,TL,GM-53CVAIR-U53,2070.5,,,,,,,,,,,,,,,,,,
MWM26A,MWM26A,"1,807.34",5,No,TL,GM-53CVAIR-U53,741.1,,,,,,,,,,,,,,,,,,
MWM99A,MWM99A,"1,484.04",5,Yes,TL,GM-53CVAIR-U53,1885,,,,,,,,,,,,,,,,,,
MYI11A,MYI11A,"3,436.76",2,Yes,ITL,GM-53CVAIR-ITL,4083.5,,,,,,,,,,,,,,,,,,
MYI12A,MYI12A,"1,824.59",3,No,ITL,GM-53CVAIR-ITL,2040.1,,,,,,,,,,,,,,,,,,
MYI15A,MYI15A,"3,369.63",5,Yes,ITL,GM-53CVAIR-ITL,3811.8,,,,,,,,,,,,,,,,,,
OCG14A,OCG14A,382.13,5,Yes,CON,GM-53CVAIR-U53,579.5,,,,,,,,,,,,,,,,,,
OCM03A,OCM03A,"1,040.99",5,No,CON,GM-53CVAIR-U53,407.5,,,,,,,,,,,,,,,,,,
OCM97A,OCM97A,712.83,5,No,CON,GM-53CVAIR-U53,699.7,,,,,,,,,,,,,,,,,,
ODM10A,ODM10A,"3,500.07",5,Yes,CON,GM-53CVAIR-U53,3090.4,,,,,,,,,,,,,,,,,,
OEC01A,OEC01A,"1,364.08",5,Yes,CON,GM-53CVAIR-U53,1366.2,,,,,,,,,,,,,,,,,,
OMG11A,OMG11A,"1,306.56",5,Yes,CON,GM-53CVAIR-U53,1379.8,,,,,,,,,,,,,,,,,,
OMG18A,OMG18A,217.46,5,Yes,CON,GM-53CVAIR-U53,41.6,,,,,,,,,,,,,,,,,,
OMG20A,OMG20A,820.31,4,Yes,CON,GM-53CVAIR-U53,910.6000001,,,,,,,,,,,,,,,,,,
