Container,R / E,Container Price,
MAC14705,R,$500.00,
MAC14774,R,$700.00,
MAC14806,R,$900.00,
MAC14884,R,$322.82,
MAC14885,R,$375.00,
MAC14886,R,$147.97,
MAC14887,R,$264.29,
MAC14900,R,$300.00,
MAC14901,R,$300.00,
MAC15058,R,"$1,150.00",
MAC15309,R,"$1,698.00",
MAC15333,R,"$1,698.00",
MAC15345,R,"$1,150.00",
MAC15355,R,"$1,000.00",
MAC15397,R,"$1,088.00",
MAC15517,R,"$1,088.00",
MAC15518,R,"$1,698.00",
MAC15524,R,$350.00,
MAC15527,R,$450.00,
MAC15550,R,"$1,000.00",
MAC15594,R,"$1,525.21",
MAC15627,R,"$1,000.00",
MAC15633,R,$500.00,
MAC15678,R,$961.49,
MAC15786,R,$996.03,
MAC15849,R,"$1,472.07",
MAC15866,R,$791.50,
MAC15868,R,$550.00,
MAC15869,R,$497.17,
MAC15871,R,$227.73,
MAC15873,R,$190.74,
MAC15875,R,$724.87,
MAC15879,R,$600.00,
MAC15881,R,$480.90,
MAC15883,R,$300.00,
MAC15889,R,$431.20,
MAC15891,R,$263.06,
MAC15893,R,$550.00,
MAC15895,R,$600.00,
MAC15897,R,$447.00,
MAC15899,R,$447.00,
MAC15905,R,$233.09,
MAC15940,R,$400.00,
MAC15995,R,"$1,100.00",
MAC16007,R,"$1,750.00",
MAC16379,R,"$1,015.00",
MAC16380,R,"$1,015.00",
MAC16413,R,$700.00,
MAC16455,R,$350.00,
MAC16489,R,$275.00,
MAC16501,R,$900.00,
MAC16559,R,$300.00,
MAC16565,R,$199.40,
MAC16623,R,$781.15,
MAC16638,R,"$1,400.00",
MAC16790,R,$437.32,
MAC16805,R,$400.00,
MAC16808,R,$650.00,
MAC16889,R,$285.00,
MAC16902,R,"$1,737.22",
MAC16954,R,"$1,250.00",
MAC17003,R,$350.00,
MAC17038,R,$836.00,
MAC17043,R,$300.00,
MAC17063,R,$287.00,
MAC17064,R,"$1,250.00",
MAC17090,R,"$1,150.00",
MAC17104,R,$300.00,
MAC17106,R,$300.00,
MAC17108,R,$350.00,
MAC17110,R,$360.00,
MAC17188,R,$300.00,
MAC17262,R,$200.00,
MAC17271,R,$400.00,
MAC17275,R,$300.00,
MAC17278,R,$275.00,
MAC17283,R,$200.00,
MAC17285,R,$300.00,
MAC17287,R,$250.00,
MAC17338,R,$781.15,
MAC17341,R,$300.00,
MAC17391,R,$450.00,
MAC17412,R,"$1,350.00",
MAC17424,R,$600.00,
MAC17445,R,$450.00,
MAC17459,R,$350.00,
MAC17478,R,$550.00,
MAC17522,R,$300.00,
MAC17638,R,$350.00,
MAC17661,R,$500.00,
MAC17666,R,$500.00,
MAC17667,R,$200.00,
MAC17668,R,$335.92,
MAC17669,R,$300.00,
MAC17670,R,$450.00,
MAC17675,R,$350.00,
MAC17679,R,$450.00,
MAC17681,R,$400.00,
MAC17722,R,$781.15,
MAC17730,R,$250.00,
MAC17732,R,$425.00,
MAC17754,R,$250.00,
MAC17757,R,$400.00,
MAC17761,R,$300.00,
MAC17762,R,$300.00,
MAC17823,R,$110.00,
MAC17845,R,$300.00,
MAC17847,R,$350.00,
MAC17856-SC,R,$300.00,
MAC17875,R,$300.00,
MAC17883,R,$157.00,
MAC17884,R,$585.92,
MAC17897,R,$612.89,
MAC17981,R,"$1,350.00",
MAC18078,R,"$1,350.00",
MAC18102,R,$350.00,
MAC18187,R,$836.00,
MAC18345,R,"$1,000.00",
MAC18370,R,"$1,000.00",
MAC18371,R,$996.03,
MAC18442,R,$458.10,
MAC18470,R,$275.00,
MAC18474,R,$275.00,
MAC18477,R,$275.00,
MAC18481,R,$275.00,
MAC18484,R,$275.00,
MAC18518-SC,R,$350.00,
MAC18537,R,$550.00,
MAC18546,R,$500.00,
MAC18551,R,"$1,157.98",
MAC18556,R,$450.00,
MAC18559,R,$300.00,
MAC18595,R,$461.19,
MAC18600,R,$300.00,
MAC18611-BC,R,"$1,250.00",
MAC18632,R,$225.00,
MAC18664,R,$405.00,
MAC18668,R,$635.72,
MAC18678,R,$225.00,
MAC18733,R,$600.00,
MAC18759,R,$265.00,
MAC18766,R,$199.40,
MAC18850,R,$590.24,
MAC18856,R,$352.10,
MAC18859,R,$350.00,
MAC18873,R,$350.00,
MAC18894,R,$800.00,
MAC18926,R,"$1,100.00",
MAC18927,R,"$1,100.00",
MAC18928,R,"$1,600.00",
MAC25087,R,$689.30,
MAC25214,R,"$1,300.00",
MAC25255,R,$303.19,
MAC25325,R,$163.68,
MAC25328,R,$263.41,
MAC25331,R,$195.20,
MAC25337,R,$225.05,
MAC25362,R,"$1,200.00",
MAC25364,R,"$1,000.00",
MAC25365,R,"$1,000.00",
MAC25445,R,"$1,250.00",
MAC25446,R,"$1,250.00",
MAC25450,R,"$1,200.00",
MAC25453,R,$350.00,
MAC25555,R,$200.00,
MAC25575,R,$300.00,
MAC25877,R,$250.00,
MAC25956,R,"$1,350.00",
MAC26006,R,$450.00,
MAC26021,R,$300.00,
MAC26042,R,$300.00,
MAC26044,R,$300.00,
MAC26046,R,$300.00,
MAC26094,R,$450.00,
MAC26175,R,"$1,100.00",
MAC26176,R,"$1,100.00",
MAC26193,R,$350.00,
